Home_Team;Home_Away;Home_Min;Home_PK;Home_PKatt;Home_Sh;Home_SoT;Home_CrdY;Home_CrdR;Home_Touches;Home_Tkl;Home_Int;Home_Blocks;Home_SCA_SCA;Home_GCA_SCA;Home_Cmp_Passes;Home_Att_Passes;Home_Cmp_percent_Passes;Home_PrgP_Passes;Home_Carries_Carries;Home_PrgC_Carries;Home_Att_Take_Ons;Home_Succ_Take_Ons;Win
Cuiabá;1;990;0;0;11;3;1;0;570;16;10;6;22;2;360;469;768;52;317;18;19;15;1
Fortaleza;1;990;0;1;13;6;1;0;590;22;14;7;21;4;370;474;781;38;330;21;19;8;1
Atlético Mineiro;1;990;0;1;13;2;2;0;678;19;8;5;24;2;508;590;861;67;355;35;16;6;1
Ceará;1;956;0;0;14;3;3;1;415;20;9;8;21;0;246;317;776;30;242;10;12;3;0
Botafogo (RJ);1;990;0;0;23;5;1;0;741;14;13;11;43;0;524;621;844;57;436;16;16;5;0
América (MG);1;990;0;0;20;6;0;0;601;18;8;13;31;2;372;484;769;49;311;22;16;6;1
Athletico Paranaense;1;990;1;1;16;4;2;0;540;13;13;11;30;6;303;409;741;38;332;12;14;6;1
Juventude;1;990;0;0;10;2;3;0;428;15;10;9;16;0;209;320;653;20;218;6;11;4;0
Avaí;1;990;1;1;7;0;2;0;552;20;9;4;11;1;337;461;731;25;326;14;11;4;0
Atlético Goianiense;1;990;0;0;22;6;3;0;618;17;11;8;40;4;426;513;83;56;343;27;15;8;0
Palmeiras;1;990;0;0;18;9;3;0;671;10;16;11;33;8;467;563;829;44;325;27;15;6;1
Flamengo;1;990;0;0;15;3;0;0;701;18;14;7;26;2;494;589;839;58;459;28;26;11;0
Fluminense;1;990;0;0;18;8;1;0;778;19;7;4;32;5;589;676;871;47;584;19;18;7;1
Bragantino;1;990;1;1;13;3;6;0;593;16;6;10;22;1;383;499;768;50;413;23;15;7;0
Goiás;1;990;0;0;8;1;4;0;436;12;9;10;14;2;272;345;788;32;229;15;12;3;1
Corinthians;1;990;0;0;15;2;4;0;733;23;7;8;26;0;513;616;833;46;409;15;22;8;1
Internacional;1;990;0;0;11;5;0;0;585;15;10;8;18;4;372;485;767;38;296;27;19;8;1
Coritiba;1;990;1;1;8;3;5;0;398;27;8;12;14;2;191;280;682;15;216;8;11;2;1
Atlético Mineiro;1;990;0;0;11;1;2;0;694;11;7;18;18;0;475;587;809;58;363;15;26;12;0
São Paulo;1;990;0;0;10;1;4;0;653;13;5;11;20;0;478;564;848;63;407;20;28;9;0
Avaí;1;990;0;0;14;3;4;0;438;10;7;7;25;4;256;340;753;25;264;14;11;9;1
Fluminense;1;990;0;0;23;9;2;0;788;12;4;7;44;6;604;690;875;69;464;29;18;8;1
Fortaleza;1;990;1;2;24;11;1;0;559;13;9;5;42;11;398;470;847;50;348;22;18;11;1
Palmeiras;1;990;1;1;25;8;4;0;575;17;8;12;43;4;356;456;781;48;334;30;10;2;1
Botafogo (RJ);1;990;0;0;14;7;2;0;531;16;11;8;21;3;344;426;808;35;318;18;27;15;1
Atlético Mineiro;1;990;0;0;14;7;1;0;768;21;8;16;24;4;591;664;89;37;490;13;14;10;1
Flamengo;1;990;0;0;17;4;0;0;722;13;11;5;29;0;555;627;885;72;472;26;18;6;0
Cuiabá;1;990;0;1;16;7;1;0;641;19;5;6;33;4;470;553;85;67;417;25;13;6;1
Corinthians;1;990;0;0;17;4;3;0;623;15;7;7;30;0;439;533;824;36;347;18;18;6;0
Ceará;1;990;1;1;21;7;4;0;593;15;4;7;36;4;419;512;818;48;367;17;11;2;1
Santos;1;990;0;0;14;3;1;0;531;17;6;12;26;0;312;405;77;39;271;19;27;7;0
Bragantino;1;990;0;0;13;4;3;0;495;28;11;11;21;0;272;366;743;35;310;21;14;6;0
Goiás;1;990;0;0;6;2;2;0;438;16;10;7;12;0;284;358;793;21;238;12;12;7;0
Internacional;1;990;0;0;15;8;2;0;422;18;7;12;25;6;243;325;748;28;194;25;15;6;1
Athletico Paranaense;1;990;0;0;24;10;1;0;422;23;5;7;42;3;221;307;72;30;197;18;21;9;1
Ceará;1;990;0;0;14;4;1;0;604;12;5;8;25;0;383;512;748;51;370;16;26;12;0
América (MG);1;990;0;0;7;3;2;0;517;21;4;7;13;2;302;413;731;41;302;24;13;10;1
Corinthians;1;990;0;0;6;3;1;0;614;16;12;19;11;0;369;470;785;37;227;18;21;13;1
Coritiba;1;990;1;1;19;7;0;0;604;17;12;10;36;6;421;505;834;72;405;31;14;7;1
São Paulo;1;990;1;1;9;2;2;0;582;15;8;5;19;3;421;505;834;35;401;28;14;9;1
Atlético Mineiro;1;990;0;0;23;8;4;0;725;19;15;10;41;1;474;606;782;66;333;17;20;11;0
Athletico Paranaense;1;990;0;1;14;8;5;0;461;18;13;11;21;1;241;334;722;19;196;12;9;7;1
Flamengo;1;990;0;0;17;7;1;0;582;31;11;13;33;0;359;470;764;52;375;23;22;14;0
Atlético Goianiense;1;990;0;0;33;7;4;0;713;15;3;3;60;0;516;620;832;79;419;44;10;4;0
